FAA ID,AIRPORT NAME,LOCATION,ST,PROCEDURE NAME,LPV or LP,DA OR MDA,VIS,HAT,GPA,TCH,ILS to Rwy (Y/N),Rwy End Cntr,ILS @ Arpt (Y/N),ILS Arpt Cntr (Y/N),ILS CAT II or III,WAAS CHANNEL #
OSU,OHIO STATE UNIVERSITY,COLUMBUS,OH,RNAV (GPS) RWY 27L,LPV,1139,1,250,3,45,N,1,Y,Y,,45720
BIJ,EARLY COUNTY,BLAKELY,GA,RNAV (GPS) RWY 23,LPV,501,1,291,3,57,N,1,N,N,,45721
6I2,LEBANON SPRINGFIELD-GEORGE HOERTER FIELD,SPRINGFIELD,KY,RNAV (GPS) RWY 11,LPV,1104,1,250,3,36,N,1,N,N,,45722
IUA,CANANDAIGUA,CANANDAIGUA,NY,RNAV (GPS) RWY 13,LPV,1056,1,252,3,40,N,1,N,,,45725
AUW,WAUSAU DOWNTOWN,WAUSAU,WI,RNAV (GPS) RWY 31,LPV,1445, 7/8,250,3,44,N,1,N,N,,45730
RZR,CLEVELAND RGNL JETPORT,CLEVELAND,TN,RNAV (GPS) RWY 21,LPV,1066, 3/4,200,3,50,N,1,N,N,,45731
AIG,LANGLADE COUNTY,ANTIGO,WI,RNAV (GPS) RWY 35,LPV,1772,1,250,3,40,N,1,N,,,45732
AQX,ALLENDALE COUNTY,ALLENDALE,SC,RNAV (GPS) RWY 17,LPV,478,1 1/8,316,3,39,N,1,N,N,,45733
5R8,DE QUINCY INDUSTRIAL AIRPARK,DE QUINCY,LA,RNAV (GPS) RWY 16,LPV,365,1,283,3,50,N,1,N,N,,45737
DEC,DECATUR,DECATUR,IL,RNAV (GPS) RWY 36,LPV,984, 7/8,306,3,58,N,1,Y,,,45738
IXD,NEW CENTURY AIRCENTER,OLATHE,KS,RNAV (GPS) RWY 22,LPV,1337,1,250,3,45,N,1,Y,Y,,45739
CKI,WILLIAMSBURG RGNL,KINGSTREE,SC,RNAV (GPS) RWY 32,LPV,317, 7/8,250,3,45,N,1,N,N,,45740
MKE,GENERAL MITCHELL INTL,MILWAUKEE,WI,RNAV (GPS) RWY 01L,LPV,904,1800,200,3,56,Y,1,Y,,3-Feb,45742
HYA,BARNSTABLE MUNI-BOARDMAN/POLANDO FIELD,HYANNIS,MA,RNAV (GPS) RWY 06,LPV,316,1,271,3,36,N,1,Y,Y,,45799
PMV,PLATTSMOUTH MUNI,PLATTSMOUTH,NE,RNAV (GPS) RWY 16,LPV,1452,1,250,3,39,N,1,N,,,45800
MGY,DAYTON-WRIGHT BROTHERS,DAYTON,OH,RNAV (GPS) RWY 02,LPV,1214,1,265,3,49,N,1,N,N,,45801
RCM,SKYHAVEN,WARRENSBURG,MO,RNAV (GPS) RWY 19,LPV,1047,1,250,3,40,N,1,N,N,,45803
PIR,PIERRE RGNL,PIERRE,SD,RNAV (GPS) RWY 07,LPV,2057,1,313,3,47,N,1,Y,Y,,45804
DFW,DALLAS/FORT WORTH INTL,DALLAS-FORT WORTH,TX,RNAV (GPS) RWY 35L,LPV,764,1800,200,3,47,Y,1,Y,,,45805
WAY,GREENE COUNTY,WAYNESBURG,PA,RNAV (GPS) RWY 09,LPV,1545,1 5/8,476,3,30,N,1,N,N,,45806
ONT,ONTARIO INTL,ONTARIO,CA,RNAV (GPS) Y RWY 08L,LPV,1266,3000,322,3,45,Y,1,Y,Y,,45807
CMX,HOUGHTON COUNTY MEMORIAL,HANCOCK,MI,RNAV (GPS) RWY 31,LPV,1320, 1/2,250,3,47,Y,1,Y,,,45809
SEA,SEATTLE-TACOMA INTL,SEATTLE,WA,RNAV (GPS) Y RWY 34L,LPV,579,2400,200,3,55,Y,1,Y,,2,45810
JAN,JACKSON-MEDGAR WILEY EVERS INTL,JACKSON,MS,RNAV (GPS) RWY 34R,LPV,646,4700,300,3,55,N,1,Y,Y,,45811
FRM,FAIRMONT MUNI,FAIRMONT,MN,RNAV (GPS) RWY 13,LPV,1460,1,298,3,48,N,1,Y,Y,,45812
MCO,ORLANDO INTL,ORLANDO,FL,RNAV (GPS) RWY 35L,LPV,288,1800,200,3,57,Y,1,Y,,3-Feb,45813
7S0,RONAN,RONAN,MT,RNAV (GPS) RWY 16,LPV,3443,1 1/4,357,3,40,N,1,N,N,,45814
FOD,FORT DODGE RGNL,FORT DODGE,IA,RNAV (GPS) RWY 24,LPV,1406,1,250,3,50,N,1,Y,Y,,45815
AWG,WASHINGTON MUNI,WASHINGTON,IA,RNAV (GPS) RWY 18,LPV,1002,1,250,3,45,N,1,N,N,,45816
